timestamp,glucose_level,event_type,value
2026-05-09T02:01:02.607521,113,sensor,113
2026-05-09T02:16:02.607521,110,sensor,110
2026-05-09T02:31:02.607521,103,sensor,103
2026-05-09T02:46:02.607521,112,sensor,112
2026-05-09T03:01:02.607521,106,sensor,106
2026-05-09T03:16:02.607521,113,sensor,113
2026-05-09T03:31:02.607521,123,sensor,123
2026-05-09T03:46:02.607521,131,sensor,131
2026-05-09T04:01:02.607521,124,sensor,124
2026-05-09T04:16:02.607521,126,sensor,126
2026-05-09T04:31:02.607521,127,sensor,127
2026-05-09T04:46:02.607521,124,meal,66
2026-05-09T05:01:02.607521,132,sensor,132
2026-05-09T05:16:02.607521,138,sensor,138
2026-05-09T05:31:02.607521,137,sensor,137
2026-05-09T05:46:02.607521,141,sensor,141
2026-05-09T06:01:02.607521,131,sensor,131
2026-05-09T06:16:02.607521,126,meal,36
2026-05-09T06:31:02.607521,128,sensor,128
2026-05-09T06:46:02.607521,125,sensor,125
2026-05-09T07:01:02.607521,123,sensor,123
2026-05-09T07:16:02.607521,115,sensor,115
2026-05-09T07:31:02.607521,123,meal,45
2026-05-09T07:46:02.607521,130,sensor,130
2026-05-09T08:01:02.607521,127,sensor,127
2026-05-09T08:16:02.607521,120,bolus,4
2026-05-09T08:31:02.607521,124,sensor,124
2026-05-09T08:46:02.607521,126,sensor,126
2026-05-09T09:01:02.607521,135,sensor,135
2026-05-09T09:16:02.607521,138,bolus,4
2026-05-09T09:31:02.607521,136,bolus,6
2026-05-09T09:46:02.607521,146,sensor,146
2026-05-09T10:01:02.607521,136,bolus,10
2026-05-09T10:16:02.607521,137,sensor,137
2026-05-09T10:31:02.607521,147,sensor,147
2026-05-09T10:46:02.607521,140,sensor,140
2026-05-09T11:01:02.607521,137,sensor,137
2026-05-09T11:16:02.607521,127,sensor,127
2026-05-09T11:31:02.607521,121,meal,35
2026-05-09T11:46:02.607521,122,sensor,122
2026-05-09T12:01:02.607521,113,sensor,113
2026-05-09T12:16:02.607521,107,sensor,107
2026-05-09T12:31:02.607521,100,sensor,100
2026-05-09T12:46:02.607521,106,sensor,106
2026-05-09T13:01:02.607521,108,sensor,108
2026-05-09T13:16:02.607521,106,bolus,10
2026-05-09T13:31:02.607521,113,sensor,113
2026-05-09T13:46:02.607521,110,bolus,2
2026-05-09T14:01:02.607521,103,sensor,103
2026-05-09T14:16:02.607521,113,sensor,113
2026-05-09T14:31:02.607521,113,sensor,113
2026-05-09T14:46:02.607521,108,sensor,108
2026-05-09T15:01:02.607521,98,sensor,98
2026-05-09T15:16:02.607521,106,sensor,106
2026-05-09T15:31:02.607521,116,sensor,116
2026-05-09T15:46:02.607521,120,sensor,120
2026-05-09T16:01:02.607521,119,sensor,119
2026-05-09T16:16:02.607521,116,sensor,116
2026-05-09T16:31:02.607521,118,sensor,118
2026-05-09T16:46:02.607521,116,sensor,116
2026-05-09T17:01:02.607521,121,sensor,121
2026-05-09T17:16:02.607521,114,bolus,9
2026-05-09T17:31:02.607521,121,sensor,121
2026-05-09T17:46:02.607521,128,sensor,128
2026-05-09T18:01:02.607521,133,sensor,133
2026-05-09T18:16:02.607521,136,sensor,136
2026-05-09T18:31:02.607521,145,sensor,145
2026-05-09T18:46:02.607521,153,sensor,153
2026-05-09T19:01:02.607521,149,sensor,149
2026-05-09T19:16:02.607521,150,sensor,150
2026-05-09T19:31:02.607521,153,meal,75
2026-05-09T19:46:02.607521,163,meal,43
2026-05-09T20:01:02.607521,166,sensor,166
2026-05-09T20:16:02.607521,173,meal,71
2026-05-09T20:31:02.607521,166,sensor,166
2026-05-09T20:46:02.607521,176,sensor,176
2026-05-09T21:01:02.607521,179,meal,65
2026-05-09T21:16:02.607521,171,sensor,171
2026-05-09T21:31:02.607521,168,sensor,168
2026-05-09T21:46:02.607521,167,sensor,167
2026-05-09T22:01:02.607521,168,sensor,168
2026-05-09T22:16:02.607521,170,sensor,170
2026-05-09T22:31:02.607521,162,sensor,162
2026-05-09T22:46:02.607521,157,bolus,8
2026-05-09T23:01:02.607521,159,meal,78
2026-05-09T23:16:02.607521,151,sensor,151
2026-05-09T23:31:02.607521,148,sensor,148
2026-05-09T23:46:02.607521,141,sensor,141
2026-05-10T00:01:02.607521,139,sensor,139
2026-05-10T00:16:02.607521,140,sensor,140
2026-05-10T00:31:02.607521,147,sensor,147
2026-05-10T00:46:02.607521,144,sensor,144
2026-05-10T01:01:02.607521,151,sensor,151
2026-05-10T01:16:02.607521,144,sensor,144
2026-05-10T01:31:02.607521,153,sensor,153
2026-05-10T01:46:02.607521,161,sensor,161
2026-05-10T02:01:02.607521,167,sensor,167
2026-05-10T02:16:02.607521,167,sensor,167
2026-05-10T02:31:02.607521,158,sensor,158
2026-05-10T02:46:02.607521,149,meal,63
